Tempo Universal,Tempo Relativo,S,G,D,Snl_Rdo,Modo,Elev,Azim,Dist,X_Rampa,Y_Rampa,Z_Rampa
14:10:01:715,0.000,D,D,D,66,RADAR,-0.020,1.818,1.377,0.000,0.000,-0.002
14:10:01:725,0.010,D,D,D,66,RADAR,-0.020,1.818,1.377,0.000,0.000,-0.001
14:10:01:735,0.020,D,D,D,66,RADAR,-0.020,1.818,1.379,0.002,-0.000,-0.001
14:10:01:745,0.030,D,D,D,66,RADAR,-0.020,1.818,1.382,0.004,-0.001,-0.001
14:10:01:755,0.040,D,D,D,66,RADAR,-0.020,1.818,1.385,0.007,-0.002,-0.001
14:10:01:765,0.050,D,D,D,66,RADAR,-0.020,1.818,1.388,0.010,-0.002,-0.001
14:10:01:775,0.060,D,D,D,66,RADAR,-0.019,1.818,1.391,0.013,-0.003,-0.000
14:10:01:785,0.070,D,D,D,66,RADAR,-0.018,1.818,1.394,0.016,-0.004,0.001
14:10:01:795,0.080,D,D,D,66,RADAR,-0.017,1.819,1.397,0.019,-0.005,0.002
14:10:01:805,0.090,D,D,D,66,RADAR,-0.016,1.819,1.401,0.022,-0.007,0.004
14:10:01:815,0.100,D,D,D,66,RADAR,-0.015,1.819,1.404,0.025,-0.008,0.006
14:10:01:825,0.110,D,D,D,66,RADAR,-0.012,1.819,1.407,0.028,-0.009,0.009
14:10:01:835,0.120,D,D,D,66,RADAR,-0.011,1.820,1.410,0.031,-0.010,0.011
14:10:01:845,0.130,D,D,D,66,RADAR,-0.010,1.820,1.413,0.034,-0.011,0.013
14:10:01:855,0.140,D,D,D,66,RADAR,-0.007,1.820,1.416,0.037,-0.012,0.017
14:10:01:865,0.150,D,D,D,66,RADAR,-0.005,1.820,1.420,0.041,-0.013,0.019
14:10:01:875,0.160,D,D,D,66,RADAR,-0.002,1.821,1.423,0.043,-0.014,0.023
14:10:01:885,0.170,D,D,D,66,RADAR,-0.001,1.821,1.426,0.047,-0.016,0.025
14:10:01:895,0.180,D,D,D,66,RADAR,0.002,1.821,1.429,0.050,-0.017,0.030
14:10:01:905,0.190,D,D,D,66,RADAR,0.004,1.821,1.433,0.053,-0.018,0.032
14:10:01:915,0.200,D,D,D,66,RADAR,0.007,1.822,1.436,0.056,-0.019,0.036
14:10:01:925,0.210,D,D,D,66,RADAR,0.008,1.822,1.439,0.059,-0.020,0.038
14:10:01:935,0.220,D,D,D,66,RADAR,0.011,1.823,1.442,0.062,-0.022,0.043
14:10:01:945,0.230,D,D,D,66,RADAR,0.013,1.823,1.446,0.065,-0.023,0.045
14:10:01:955,0.240,D,D,D,66,RADAR,0.016,1.823,1.449,0.068,-0.024,0.050
14:10:01:965,0.250,D,D,D,66,RADAR,0.018,1.823,1.452,0.071,-0.025,0.052
14:10:01:975,0.260,D,D,D,66,RADAR,0.019,1.824,1.455,0.074,-0.026,0.055
14:10:01:985,0.270,D,D,D,66,RADAR,0.023,1.824,1.459,0.077,-0.028,0.059
14:10:01:995,0.280,D,D,D,66,RADAR,0.024,1.824,1.462,0.080,-0.029,0.062
14:10:02:005,0.290,D,D,D,66,RADAR,0.028,1.825,1.465,0.083,-0.030,0.067
14:10:02:015,0.300,D,D,D,66,RADAR,0.029,1.825,1.469,0.086,-0.031,0.069
14:10:02:025,0.310,D,D,D,66,RADAR,0.032,1.825,1.472,0.089,-0.033,0.074
14:10:02:035,0.320,D,D,D,66,RADAR,0.034,1.825,1.475,0.092,-0.034,0.077
14:10:02:045,0.330,D,D,D,66,RADAR,0.037,1.826,1.479,0.095,-0.035,0.082
14:10:02:055,0.340,D,D,D,66,RADAR,0.039,1.826,1.482,0.098,-0.036,0.084
14:10:02:065,0.350,D,D,D,66,RADAR,0.042,1.826,1.486,0.101,-0.038,0.089
14:10:02:075,0.360,D,D,D,66,RADAR,0.044,1.826,1.489,0.104,-0.039,0.092
14:10:02:085,0.370,D,D,D,66,RADAR,0.047,1.827,1.492,0.107,-0.040,0.097
14:10:02:095,0.380,D,D,D,66,RADAR,0.049,1.827,1.496,0.110,-0.041,0.100
14:10:02:105,0.390,D,D,D,66,RADAR,0.052,1.827,1.499,0.113,-0.043,0.105
14:10:02:115,0.400,D,D,D,66,RADAR,0.054,1.828,1.503,0.116,-0.044,0.107
14:10:02:125,0.410,D,D,D,66,RADAR,0.056,1.828,1.506,0.119,-0.045,0.110
14:10:02:135,0.420,D,D,D,66,RADAR,0.059,1.828,1.509,0.122,-0.046,0.115
14:10:02:145,0.430,D,D,D,66,RADAR,0.061,1.828,1.513,0.125,-0.047,0.118
14:10:02:155,0.440,D,D,D,66,RADAR,0.064,1.829,1.516,0.128,-0.049,0.123
14:10:02:165,0.450,D,D,D,66,RADAR,0.065,1.829,1.520,0.131,-0.050,0.126
14:10:02:175,0.460,D,D,D,66,RADAR,0.069,1.829,1.523,0.134,-0.051,0.131
14:10:02:185,0.470,D,D,D,66,RADAR,0.070,1.829,1.527,0.137,-0.052,0.134
